fecha,monto_total,tienda,transacciones
2024-09-01,12450.50,Portal Centro,45
2024-09-01,8320.75,Plaza Norte,32
2024-09-01,6890.00,Crepas OS,28
2024-09-02,13200.00,Portal Centro,48
2024-09-02,9150.25,Plaza Norte,35
2024-09-02,7340.50,Crepas OS,30
2024-09-03,11890.75,Portal Centro,42
2024-09-03,8760.00,Plaza Norte,33
2024-09-03,6450.25,Crepas OS,26
2024-09-04,12670.50,Portal Centro,46
2024-09-04,9320.75,Plaza Norte,36
2024-09-04,7120.00,Crepas OS,29
2024-09-05,13450.25,Portal Centro,49
2024-09-05,9870.50,Plaza Norte,38
2024-09-05,7650.75,Crepas OS,31
2024-09-06,12980.00,Portal Centro,47
2024-09-06,9540.25,Plaza Norte,37
2024-09-06,7340.50,Crepas OS,30
2024-09-07,14200.75,Portal Centro,51
2024-09-07,10320.00,Plaza Norte,40
2024-09-07,8120.25,Crepas OS,33
2024-09-08,13680.50,Portal Centro,50
2024-09-08,9980.75,Plaza Norte,39
2024-09-08,7890.00,Crepas OS,32
2024-09-09,12340.25,Portal Centro,44
2024-09-09,8650.50,Plaza Norte,34
2024-09-09,6780.75,Crepas OS,27
2024-09-10,13120.00,Portal Centro,48
2024-09-10,9430.25,Plaza Norte,37
2024-09-10,7450.50,Crepas OS,30
2024-09-11,12890.75,Portal Centro,47
2024-09-11,9210.00,Plaza Norte,36
2024-09-11,7230.25,Crepas OS,29
2024-09-12,13560.50,Portal Centro,49
2024-09-12,9780.75,Plaza Norte,38
2024-09-12,7670.00,Crepas OS,31
2024-09-13,14120.25,Portal Centro,52
2024-09-13,10240.50,Plaza Norte,41
2024-09-13,8050.75,Crepas OS,33
2024-09-14,13890.00,Portal Centro,51
2024-09-14,10080.25,Plaza Norte,40
2024-09-14,7980.50,Crepas OS,32
2024-09-15,12560.75,Portal Centro,46
2024-09-15,8890.00,Plaza Norte,35
2024-09-15,6990.25,Crepas OS,28
2024-09-16,13340.50,Portal Centro,49
2024-09-16,9560.75,Plaza Norte,38
2024-09-16,7540.00,Crepas OS,31
2024-09-17,12980.25,Portal Centro,48
2024-09-17,9320.50,Plaza Norte,37
2024-09-17,7340.75,Crepas OS,30
2024-09-18,13670.00,Portal Centro,50
2024-09-18,9890.25,Plaza Norte,39
2024-09-18,7780.50,Crepas OS,32
2024-09-19,14230.75,Portal Centro,52
2024-09-19,10340.00,Plaza Norte,41
2024-09-19,8150.25,Crepas OS,34
2024-09-20,13990.50,Portal Centro,51
2024-09-20,10180.75,Plaza Norte,40
2024-09-20,8070.00,Crepas OS,33
2024-09-21,12670.25,Portal Centro,46
2024-09-21,8960.50,Plaza Norte,35
2024-09-21,7080.75,Crepas OS,29
2024-09-22,13450.00,Portal Centro,49
2024-09-22,9650.25,Plaza Norte,38
2024-09-22,7630.50,Crepas OS,31
2024-09-23,13080.75,Portal Centro,48
2024-09-23,9410.00,Plaza Norte,37
2024-09-23,7430.25,Crepas OS,30
2024-09-24,13780.50,Portal Centro,50
2024-09-24,9980.75,Plaza Norte,39
2024-09-24,7870.00,Crepas OS,32
2024-09-25,14340.25,Portal Centro,52
2024-09-25,10440.50,Plaza Norte,42
2024-09-25,8240.75,Crepas OS,34
2024-09-26,14090.00,Portal Centro,51
2024-09-26,10270.25,Plaza Norte,41
2024-09-26,8160.50,Crepas OS,33
2024-09-27,12780.75,Portal Centro,47
2024-09-27,9050.00,Plaza Norte,36
2024-09-27,7170.25,Crepas OS,29
2024-09-28,13560.50,Portal Centro,49
2024-09-28,9740.75,Plaza Norte,38
2024-09-28,7720.00,Crepas OS,31
2024-09-29,13190.25,Portal Centro,48
2024-09-29,9500.50,Plaza Norte,37
2024-09-29,7520.75,Crepas OS,30
2024-09-30,13870.00,Portal Centro,50
2024-09-30,10070.25,Plaza Norte,40
2024-09-30,7960.50,Crepas OS,32
